[2025-09-02 12:36:30.168] [REQUEST] {"timestamp":"2025-09-02 12:36:30.168","method":"GET","url":"/api/check-auth","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":401,"responseTime":"3ms","error":{"error":"Token 无效"}}
[2025-09-02 12:38:35.747] [REQUEST] {"timestamp":"2025-09-02 12:38:35.747","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"17ms"}
[2025-09-02 12:38:35.747] [REQUEST] {"timestamp":"2025-09-02 12:38:35.747","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"9ms"}
[2025-09-02 12:38:35.750] [REQUEST] {"timestamp":"2025-09-02 12:38:35.750","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"11ms"}
[2025-09-02 12:39:05.753] [REQUEST] {"timestamp":"2025-09-02 12:39:05.753","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"15ms"}
[2025-09-02 12:39:05.753] [REQUEST] {"timestamp":"2025-09-02 12:39:05.753","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"16ms"}
[2025-09-02 12:39:05.754] [REQUEST] {"timestamp":"2025-09-02 12:39:05.754","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"6ms"}
[2025-09-02 12:39:05.757] [REQUEST] {"timestamp":"2025-09-02 12:39:05.757","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"9ms"}
[2025-09-02 12:39:35.750] [REQUEST] {"timestamp":"2025-09-02 12:39:35.750","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"20ms"}
[2025-09-02 12:39:35.752] [REQUEST] {"timestamp":"2025-09-02 12:39:35.752","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"21ms"}
[2025-09-02 12:39:35.753] [REQUEST] {"timestamp":"2025-09-02 12:39:35.753","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"12ms"}
[2025-09-02 12:39:35.756] [REQUEST] {"timestamp":"2025-09-02 12:39:35.756","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"15ms"}
[2025-09-02 12:40:05.749] [REQUEST] {"timestamp":"2025-09-02 12:40:05.749","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"20ms"}
[2025-09-02 12:40:05.750] [REQUEST] {"timestamp":"2025-09-02 12:40:05.750","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"11ms"}
[2025-09-02 12:40:05.751] [REQUEST] {"timestamp":"2025-09-02 12:40:05.751","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"23ms"}
[2025-09-02 12:40:05.755] [REQUEST] {"timestamp":"2025-09-02 12:40:05.755","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"15ms"}
[2025-09-02 12:40:35.748] [REQUEST] {"timestamp":"2025-09-02 12:40:35.748","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"18ms"}
[2025-09-02 12:40:35.749] [REQUEST] {"timestamp":"2025-09-02 12:40:35.749","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"13ms"}
[2025-09-02 12:40:35.750] [REQUEST] {"timestamp":"2025-09-02 12:40:35.750","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"14ms"}
[2025-09-02 12:40:35.756] [REQUEST] {"timestamp":"2025-09-02 12:40:35.756","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"10ms"}
[2025-09-02 12:41:05.748] [REQUEST] {"timestamp":"2025-09-02 12:41:05.748","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"18ms"}
[2025-09-02 12:41:05.750] [REQUEST] {"timestamp":"2025-09-02 12:41:05.750","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"19ms"}
[2025-09-02 12:41:05.752] [REQUEST] {"timestamp":"2025-09-02 12:41:05.752","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"11ms"}
[2025-09-02 12:41:05.754] [REQUEST] {"timestamp":"2025-09-02 12:41:05.754","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"13ms"}
[2025-09-02 12:41:35.755] [REQUEST] {"timestamp":"2025-09-02 12:41:35.755","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"12ms"}
[2025-09-02 12:41:35.757] [REQUEST] {"timestamp":"2025-09-02 12:41:35.757","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"21ms"}
[2025-09-02 12:41:35.758] [REQUEST] {"timestamp":"2025-09-02 12:41:35.758","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"15ms"}
[2025-09-02 12:41:35.760] [REQUEST] {"timestamp":"2025-09-02 12:41:35.760","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"13ms"}
[2025-09-02 12:42:05.753] [REQUEST] {"timestamp":"2025-09-02 12:42:05.753","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"12ms"}
[2025-09-02 12:42:05.755] [REQUEST] {"timestamp":"2025-09-02 12:42:05.755","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"7ms"}
[2025-09-02 12:42:05.756] [REQUEST] {"timestamp":"2025-09-02 12:42:05.756","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"16ms"}
[2025-09-02 12:42:05.758] [REQUEST] {"timestamp":"2025-09-02 12:42:05.758","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"10ms"}
[2025-09-02 12:42:35.749] [REQUEST] {"timestamp":"2025-09-02 12:42:35.749","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"22ms"}
[2025-09-02 12:42:35.750] [REQUEST] {"timestamp":"2025-09-02 12:42:35.750","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"10ms"}
[2025-09-02 12:42:35.752] [REQUEST] {"timestamp":"2025-09-02 12:42:35.752","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"26ms"}
[2025-09-02 12:42:35.755] [REQUEST] {"timestamp":"2025-09-02 12:42:35.755","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"14ms"}
[2025-09-02 12:43:05.755] [REQUEST] {"timestamp":"2025-09-02 12:43:05.755","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"14ms"}
[2025-09-02 12:43:05.757] [REQUEST] {"timestamp":"2025-09-02 12:43:05.757","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"17ms"}
[2025-09-02 12:43:05.757] [REQUEST] {"timestamp":"2025-09-02 12:43:05.757","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"8ms"}
[2025-09-02 12:43:05.762] [REQUEST] {"timestamp":"2025-09-02 12:43:05.762","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"13ms"}
[2025-09-02 12:43:35.754] [REQUEST] {"timestamp":"2025-09-02 12:43:35.754","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"8ms"}
[2025-09-02 12:43:35.755] [REQUEST] {"timestamp":"2025-09-02 12:43:35.755","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"9ms"}
[2025-09-02 12:43:35.756] [REQUEST] {"timestamp":"2025-09-02 12:43:35.756","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"18ms"}
[2025-09-02 12:43:35.759] [REQUEST] {"timestamp":"2025-09-02 12:43:35.759","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"13ms"}
[2025-09-02 12:44:05.741] [REQUEST] {"timestamp":"2025-09-02 12:44:05.741","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"13ms"}
[2025-09-02 12:44:05.743] [REQUEST] {"timestamp":"2025-09-02 12:44:05.743","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"13ms"}
[2025-09-02 12:44:05.745] [REQUEST] {"timestamp":"2025-09-02 12:44:05.745","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"12ms"}
[2025-09-02 12:44:05.752] [REQUEST] {"timestamp":"2025-09-02 12:44:05.752","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"13ms"}
[2025-09-02 12:44:35.749] [REQUEST] {"timestamp":"2025-09-02 12:44:35.749","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"16ms"}
[2025-09-02 12:44:35.754] [REQUEST] {"timestamp":"2025-09-02 12:44:35.754","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"14ms"}
[2025-09-02 12:44:35.755] [REQUEST] {"timestamp":"2025-09-02 12:44:35.755","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"14ms"}
[2025-09-02 12:44:35.758] [REQUEST] {"timestamp":"2025-09-02 12:44:35.758","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"13ms"}
[2025-09-02 12:45:05.747] [REQUEST] {"timestamp":"2025-09-02 12:45:05.747","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"11ms"}
[2025-09-02 12:45:05.748] [REQUEST] {"timestamp":"2025-09-02 12:45:05.748","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"12ms"}
[2025-09-02 12:45:05.749] [REQUEST] {"timestamp":"2025-09-02 12:45:05.749","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"22ms"}
[2025-09-02 12:45:05.752] [REQUEST] {"timestamp":"2025-09-02 12:45:05.752","method":"GET","url":"/api/sms-messages/statistics?days=7","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"12ms"}
[2025-09-02 12:45:35.748] [REQUEST] {"timestamp":"2025-09-02 12:45:35.748","method":"GET","url":"/api/simcards?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"15ms"}
[2025-09-02 12:45:35.749] [REQUEST] {"timestamp":"2025-09-02 12:45:35.749","method":"GET","url":"/api/devices?pageSize=100","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"17ms"}
[2025-09-02 12:45:35.750] [REQUEST] {"timestamp":"2025-09-02 12:45:35.750","method":"GET","url":"/api/sms-messages?pageSize=10","ip":"::1","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","status":200,"responseTime":"8ms"}
